LEFT,RIGHT
-0.435083, -0.088215
-0.434873, -0.088212
-0.435662, -0.088210
-0.436452, -0.088207
-0.436240, -0.088204
-0.436029, -0.088201
-0.436818, -0.088198
-0.436606, -0.088195
-0.435395, -0.087193
-0.435183, -0.086190
-0.434972, -0.086188
-0.434761, -0.086186
-0.434550, -0.086184
-0.436338, -0.086182
-0.436126, -0.086180
-0.435914, -0.086178
-0.435702, -0.086176
-0.435490, -0.085174
-0.436277, -0.085172
-0.436065, -0.085170
-0.435852, -0.084169
-0.436639, -0.084167
-0.436426, -0.084166
-0.437213, -0.084164
-0.436999, -0.084163
-0.436785, -0.084161
-0.436572, -0.084160
-0.436358, -0.083159
-0.436144, -0.082158
-0.435931, -0.082157
-0.435717, -0.082156
-0.437503, -0.082156
-0.439288, -0.082155
-0.440072, -0.083154
-0.439856, -0.083153
-0.439640, -0.083151
-0.439424, -0.083150
-0.439208, -0.083149
-0.439992, -0.083147
-0.439775, -0.083146
-0.439558, -0.082145
-0.439342, -0.079144
-0.439125, -0.077145
-0.438909, -0.077147
-0.438692, -0.077148
-0.438476, -0.077149
-0.439259, -0.077151
-0.439042, -0.079151
-0.439825, -0.080151
-0.439607, -0.080151
-0.439390, -0.080151
-0.439172, -0.080150
-0.439954, -0.080150
-0.439736, -0.080150
-0.439518, -0.080149
-0.439300, -0.078149
-0.439082, -0.075150
-0.437864, -0.073153
-0.437647, -0.072156
-0.437429, -0.072159
-0.439211, -0.072163
-0.445991, -0.077165
-0.451768, -0.080165
-0.453542, -0.079164
-0.454316, -0.079164
-0.455090, -0.079164
-0.455863, -0.080163
-0.457635, -0.082162
-0.458406, -0.081160
-0.458178, -0.081159
-0.457949, -0.081158
-0.458720, -0.081156
-0.458491, -0.081155
-0.458261, -0.081153
-0.458032, -0.082151
-0.457803, -0.082149
-0.458573, -0.082147
-0.459343, -0.082145
-0.461113, -0.082143
-0.462881, -0.083141
-0.464648, -0.083138
-0.465415, -0.083135
-0.465181, -0.083132
-0.465947, -0.084129
-0.468713, -0.084126
-0.471476, -0.083123
-0.471239, -0.084120
-0.471002, -0.085116
-0.472765, -0.085112
-0.473526, -0.085108
-0.471288, -0.085104
-0.470051, -0.085100
-0.470814, -0.085096
-0.472576, -0.085092
-0.473337, -0.085088
-0.473098, -0.085084
-0.473859, -0.084080
-0.475619, -0.084077
-0.476378, -0.084073
-0.476137, -0.084069
-0.474896, -0.084065
-0.473656, -0.085061
-0.473416, -0.085057
-0.473176, -0.085053
-0.472936, -0.087048
-0.472696, -0.088042
-0.473456, -0.088036
-0.473215, -0.087030
-0.472975, -0.087025
-0.473734, -0.089019
-0.473493, -0.089012
-0.475252, -0.089006
-0.475010, -0.087999
-0.473768, -0.087993
-0.474526, -0.087987
